iter	Passed	Remaining
402	12096	2911
403	12129	2882
404	12162	2852
405	12194	2823
406	12220	2792
407	12253	2762
408	12282	2732
409	12315	2703
410	12347	2673
411	12382	2644
412	12412	2614
413	12447	2585
414	12480	2556
415	12512	2526
416	12543	2496
417	12574	2466
418	12607	2437
419	12639	2407
420	12669	2377
421	12702	2347
422	12731	2317
423	12757	2286
424	12789	2257
425	12821	2227
426	12853	2197
427	12887	2167
428	12919	2138
429	12951	2108
430	12981	2078
431	13011	2048
432	13041	2018
433	13076	1988
434	13109	1958
435	13140	1928
436	13172	1899
437	13203	1868
438	13233	1838
439	13266	1809
440	13293	1778
441	13325	1748
442	13357	1718
443	13387	1688
444	13415	1658
445	13444	1627
446	13480	1598
447	13512	1568
448	13544	1538
449	13577	1508
450	13609	1478
451	13645	1449
452	13678	1419
453	13712	1389
454	13744	1359
455	13777	1329
456	13809	1299
457	13841	1269
458	13874	1239
459	13907	1209
460	13940	1179
461	13973	1149
462	14005	1119
463	14036	1089
464	14070	1059
465	14102	1028
466	14132	998
467	14162	968
468	14192	938
469	14226	908
470	14258	877
471	14287	847
472	14322	817
473	14356	787
474	14389	757
475	14421	727
476	14455	697
477	14489	666
478	14521	636
479	14549	606
480	14575	575
481	14603	545
482	14634	515
483	14667	484
484	14697	454
485	14729	424
486	14757	393
487	14792	363
488	14824	333
489	14855	303
490	14884	272
491	14911	242
492	14942	212
493	14968	181
494	15001	151
495	15030	121
496	15061	90
497	15091	60
498	15123	30
499	15152	0
