iter	Logloss
0	0.6665968611
1	0.6407994398
2	0.623202069
3	0.6019538123
4	0.5856227743
5	0.5751504078
6	0.5609286313
7	0.5461466692
8	0.5322245367
9	0.5205832475
10	0.5093159275
11	0.5033662989
12	0.4952206384
13	0.4868355238
14	0.4785643363
15	0.477304034
16	0.4703501506
17	0.4650754795
18	0.4593908865
19	0.4549289916
20	0.4525110979
21	0.4481128499
22	0.443199434
23	0.4416140596
24	0.4379766945
25	0.4357177454
26	0.431178606
27	0.4304895901
28	0.4274150225
29	0.4225641396
30	0.4203874668
31	0.418017318
32	0.4154374452
33	0.412264776
34	0.4116419422
35	0.4086145048
36	0.4046869064
37	0.4025517175
38	0.4015076305
39	0.3993155549
40	0.3966428813
41	0.3939822303
42	0.3926465273
43	0.3897377414
44	0.3885252992
45	0.3864972
46	0.3841708397
47	0.3812432325
48	0.3785551944
49	0.3756021592
50	0.3753751887
51	0.3711788672
52	0.3692763719
53	0.3677524935
54	0.3652351539
55	0.3644658974
56	0.363260638
57	0.3617930701
58	0.3604631671
59	0.3603202399
60	0.3592262187
61	0.3562733371
62	0.3559628996
63	0.353793256
64	0.3522613114
65	0.3505791414
66	0.3482362259
67	0.346734818
68	0.3439623911
69	0.3430456749
70	0.341627273
71	0.34080693
72	0.3402786255
73	0.3391830678
74	0.3375794867
75	0.3359814367
76	0.3345252001
77	0.3335498688
78	0.3325080096
79	0.330771757
80	0.3300814351
81	0.3281196333
82	0.3269308138
83	0.3261251821
84	0.3247231049
85	0.3246539652
86	0.323245435
87	0.3219591284
88	0.320916962
89	0.3208008072
90	0.3190696633
91	0.3172277037
92	0.3157034604
93	0.3141708243
94	0.3113369975
95	0.3103332805
96	0.309279706
97	0.3082699968
98	0.3074180608
99	0.3067888123
100	0.30523457
101	0.304227396
102	0.3022253203
103	0.3009283547
104	0.2995577553
105	0.2990249183
106	0.2986157455
107	0.2979890705
108	0.2970329639
109	0.2960215071
110	0.2950695296
111	0.2945975164
112	0.2936430615
113	0.2929996201
114	0.2918438533
115	0.2902708857
116	0.288780348
117	0.2871319221
118	0.287056579
119	0.2863900142
120	0.2856049708
121	0.2845832583
122	0.2834601215
123	0.2827046162
124	0.28065324
125	0.2800663588
126	0.2793762097
127	0.2788416635
128	0.2767476511
129	0.2748313662
130	0.2742908855
131	0.2735354186
132	0.2727631852
133	0.2727274054
134	0.2720876323
135	0.2713135745
136	0.2708031311
137	0.2694770692
138	0.2680489878
139	0.2675941635
140	0.266600587
141	0.265375085
142	0.2646931559
143	0.2638134103
144	0.2638048062
145	0.2623350873
146	0.2613497883
147	0.2602052759
148	0.2590887459
149	0.2581193874
150	0.2580828586
151	0.2574858561
152	0.2565426556
153	0.2553016164
154	0.2539784737
155	0.2533743076
156	0.2521410466
157	0.2505002068
158	0.249701105
159	0.248737201
160	0.2475505517
161	0.2464596034
162	0.245299861
163	0.2438339832
164	0.2432727605
165	0.2423892314
166	0.2414146107
167	0.2405126443
168	0.2395941228
169	0.2390072992
170	0.2380963063
171	0.2377314405
172	0.2370335132
173	0.2364837946
174	0.235538251
175	0.2339653794
176	0.2328976505
177	0.2317651991
178	0.230901855
179	0.2301823407
180	0.2290256712
181	0.2283762185
182	0.2274922669
183	0.2267355708
184	0.2258967521
185	0.2254605187
186	0.2249122405
187	0.2241440212
188	0.2235189595
189	0.2222691434
190	0.2216258749
191	0.2212800033
192	0.2197794404
193	0.2192758726
194	0.2184700296
195	0.2175844263
196	0.2170142731
197	0.216586663
198	0.2161036067
199	0.2155783751
200	0.2150439441
201	0.2144100671
202	0.213810299
203	0.2131051888
204	0.2126010256
205	0.2112872937
206	0.2109616263
207	0.210147429
208	0.2097600928
209	0.2093865845
210	0.2088671338
211	0.2083748972
212	0.2074885065
213	0.2070729958
214	0.2064514295
215	0.2058018232
216	0.2052610544
217	0.2045114643
218	0.2042934821
219	0.2035571822
220	0.203320321
221	0.2027227039
222	0.2023024879
223	0.201741899
224	0.2012750905
225	0.2006570388
226	0.1999242728
227	0.1990269157
228	0.1985816942
229	0.1981420614
230	0.1976376486
231	0.1970860287
232	0.196570323
233	0.1957566634
234	0.1951420879
235	0.1944066331
236	0.193774427
237	0.1935280974
238	0.1924637295
239	0.1917428324
240	0.191145465
241	0.1906215778
242	0.1902425384
243	0.1897827591
244	0.1890137715
245	0.1885847978
246	0.1882304566
247	0.187630266
248	0.187124528
249	0.186755533
250	0.1863948732
251	0.1857778778
252	0.1854506548
253	0.1849783151
254	0.1843222749
255	0.183510728
256	0.1831396204
257	0.1824169757
258	0.1819629964
259	0.1815627349
260	0.1811390619
261	0.1805050505
262	0.1799953753
263	0.1796644264
264	0.1790696326
265	0.1785921074
266	0.1780167879
267	0.1775126055
268	0.1772428837
269	0.1767262562
270	0.1759711733
271	0.1753826597
272	0.1751238466
273	0.1744615838
274	0.1739424596
275	0.1736666304
276	0.1732352945
277	0.1727289419
278	0.172373602
279	0.1720023984
280	0.1715495523
281	0.170984258
282	0.1706395388
283	0.1696493616
284	0.1691893711
285	0.1687519662
286	0.1684118562
287	0.1679559564
288	0.1676364924
289	0.1672350018
290	0.1669124841
291	0.1661656788
292	0.1655792393
293	0.1651647466
294	0.1646343487
295	0.1640613915
296	0.163533183
297	0.1630123495
298	0.1622962154
299	0.1620167372
300	0.161351344
301	0.1609478175
302	0.1602690957
303	0.1599204874
304	0.1595995925
305	0.1591037069
306	0.1588053401
307	0.1585322285
308	0.1582419953
309	0.1576999012
310	0.1572460276
311	0.1570165893
312	0.1566931882
313	0.1561831481
314	0.1557713057
315	0.1551848278
316	0.1549527968
317	0.1544618662
318	0.1540100956
319	0.1535894282
320	0.1531656208
321	0.1527511088
322	0.1521071873
323	0.1518261919
324	0.1515023874
325	0.1511196605
326	0.1508468082
327	0.1504899223
328	0.1500908804
329	0.1496193665
330	0.149212191
331	0.1487740083
332	0.1484776869
333	0.1481173056
334	0.1478718787
335	0.1472853144
336	0.146956987
337	0.146652993
338	0.1462828841
339	0.1459041424
340	0.1456653702
341	0.1452102578
342	0.1447921352
343	0.1444616376
344	0.1442969506
345	0.1440874284
346	0.1437327511
347	0.1433643515
348	0.142908058
349	0.1424570556
350	0.1422417909
351	0.1418816112
352	0.1414932379
353	0.1410904413
354	0.1407211295
355	0.1404614617
356	0.140154923
357	0.1399433361
358	0.1397015199
359	0.1391992677
360	0.1389250806
361	0.1385953128
362	0.1383098137
363	0.1380949043
364	0.1378584464
365	0.1376456496
366	0.1373384963
367	0.1370860114
368	0.136743616
369	0.136451395
370	0.1362242517
371	0.1359770579
372	0.1355287539
373	0.1353195773
374	0.1350860002
375	0.1347712896
376	0.1344889305
377	0.1340396566
378	0.1336337391
379	0.1334404167
380	0.1332106039
381	0.13292667
382	0.1327894756
383	0.1326509753
384	0.1324082083
385	0.1320154658
386	0.1317179152
387	0.1313014539
388	0.1306221847
389	0.130240034
390	0.1299512507
391	0.1296651178
392	0.129450218
393	0.1290711402
394	0.1286752767
395	0.1284695764
396	0.12828046
397	0.1279144227
398	0.1276753528
399	0.1272609945
400	0.126945045
401	0.1267443477
402	0.1266028993
403	0.1263866648
404	0.1258747906
405	0.1256676307
406	0.1253476577
407	0.1251171919
408	0.1249333858
409	0.1246402525
410	0.1243758314
411	0.1240826788
412	0.1236832048
413	0.1235176343
414	0.1232898956
415	0.1229078121
416	0.1226878997
417	0.1224613326
418	0.1221606516
419	0.1218353011
420	0.1213579487
421	0.1209437729
422	0.1205693812
423	0.1201837734
424	0.1197342979
425	0.1195043698
426	0.1191811703
427	0.1189293096
428	0.1186439449
429	0.1182851385
430	0.1180322982
431	0.1177969446
432	0.1174567387
433	0.1171680034
434	0.1168579597
435	0.1165494524
436	0.1161977904
437	0.1157941295
438	0.1155468973
439	0.1151572948
440	0.1148399722
441	0.1146488296
442	0.1144646682
443	0.1142997796
444	0.1140619676
445	0.1136743818
446	0.1133883641
447	0.1131929771
448	0.1129340776
449	0.1125845473
450	0.1123269826
451	0.1121360321
452	0.1118387216
453	0.1115491413
454	0.111281244
455	0.1110001141
456	0.1107353761
457	0.110463436
458	0.1103025229
459	0.1100693395
460	0.1098622563
461	0.1095732426
462	0.1093495755
463	0.1091016135
464	0.1089331814
465	0.1087747458
466	0.1085531049
467	0.1083183082
468	0.1081493096
469	0.1079858517
470	0.1078004516
471	0.1074320904
472	0.1071791061
473	0.1069009915
474	0.1066089721
475	0.1064031853
476	0.1062781768
477	0.1059401795
478	0.1058263486
479	0.1055564539
480	0.1051318975
481	0.1046820763
482	0.1043948006
483	0.104168704
484	0.1039106111
485	0.1036227978
486	0.1034081285
487	0.1032807673
488	0.103169846
489	0.1029406189
490	0.10271168
491	0.1025584202
492	0.1022366131
493	0.1019712893
494	0.1017701215
495	0.1015607529
496	0.1014078868
497	0.1011223877
498	0.100928105
499	0.1007628226
